customer_id,age,location,gender,credit_score,membership_length,balance,payment_method,num_products,has_broadband,has_tv,broadband_bundle,tv_bundle,num_support_calls,churn
90678,33.0,Connacht,Male,660,82,679.36,DirectDebit,1,True,False,1GB,,1,0
10054,38.0,Ulster,Male,467,100,0.0,CC,2,True,True,500Mbps,Premium,1,0
88115,62.0,Ulster,Male,744,59,0.0,CreditCard,2,True,True,2GB,Premium,0,0
96168,66.0,Ulster,Female,732,84,653.51,DirectDebit,1,False,True,,Premium,0,0
83787,33.0,Connacht,Female,745,73,605.21,CreditCard,2,True,True,1GB,Premium,3,0
29150,33.0,Munster,Male,750,67,734.64,CreditCard,1,False,True,,Basic,0,0
34961,37.0,Leinster,Female,489,75,436.42,DirectDebit,1,True,False,500Mbps,,0,0
56387,38.0,Munster,Female,675,50,0.0,DirectDebit,1,True,False,2GB,,0,0
7382,39.0,Munster,Male,855,112,401.05,DirectDebit,1,True,False,500Mbps,,0,0
60879,31.0,Connacht,Female,855,24,436.22,DirectDebit,1,True,False,2GB,,1,0
35579,31.0,Leinster,Male,532,23,0.0,DirectDebit,2,True,True,1GB,Basic,0,0
88058,26.0,Leinster,Male,626,81,0.0,CC,2,True,True,1GB,Premium,0,0
69410,34.0,Munster,Male,641,73,712.94,DirectDebit,2,True,True,2GB,Premium,0,0
19550,23.0,Leinster,Male,683,65,383.11,DirectDebit,2,True,True,2GB,Premium,1,0
86657,36.0,Ulster,M,542,74,0.0,DirectDebit,2,True,True,1GB,Basic,0,0
36414,36.0,Connacht,Female,739,36,0.0,DirectDebit,2,True,True,1GB,Premium,6,0
47175,43.0,Munster,male,565,49,596.64,DirectDebit,1,False,True,,Premium,0,0
21965,34.0,Munster,Male,684,1,657.2,,2,True,True,1GB,Premium,1,0
35088,26.0,Leinster,F,588,12,677.27,DirectDebit,1,True,False,2GB,,7,0
62916,37.0,Connacht,Male,649,78,772.21,DirectDebit,1,True,False,1GB,,0,0
6876,34.0,Ulster,Male,555,26,-1.0,DirectDebit,2,True,True,1GB,Premium,2,0
34016,30.0,Munster,Female,572,13,602.47,DirectDebit,1,True,False,500Mbps,,3,0
38079,39.0,Ulster,Male,615,103,0.0,CreditCard,2,True,True,2GB,Premium,0,0
87442,28.0,Munster,Female,638,100,428.3,DirectDebit,1,True,False,2GB,,0,0
29160,34.0,Leinster,male,601,45,745.26,DirectDebit,2,True,True,500Mbps,Basic,0,0
14143,23.0,Munster,F,572,35,632.56,DirectDebit,1,False,True,,Basic,0,0
81884,18.0,Leinster,Male,630,1,819.25,DirectDebit,2,True,True,2GB,Premium,0,0
92963,67.0,Leinster,Female,631,12,0.0,CreditCard,2,True,True,1GB,Basic,1,0
87304,39.0,Leinster,Male,559,1,464.59,DirectDebit,2,True,True,2GB,Basic,0,0
58,39.0,Leinster,Female,507,77,0.0,DD,1,True,False,500Mbps,,0,0
45081,66.0,Munster,male,593,83,551.2,CreditCard,2,True,True,2GB,Premium,0,0
82904,36.0,Leinster,Male,417,25,531.69,DirectDebit,1,True,False,1GB,,1,0
97344,29.0,Connacht,Female,556,12,478.74,DirectDebit,2,True,True,2GB,Premium,0,0
51435,30.0,Leinster,Female,582,1,360.64,DirectDebit,1,True,False,500Mbps,,1,0
93556,68.0,Leinster,Female,700,102,411.0,DirectDebit,2,True,True,2GB,Premium,2,0
41217,37.0,Leinster,Male,515,61,0.0,DirectDebit,1,True,False,500Mbps,,1,0
83052,45.0,Munster,Female,727,1,501.7,,1,True,False,1GB,,3,0
61074,32.0,Connacht,Male,648,12,0.0,DirectDebit,2,True,True,1GB,Basic,2,0
61790,34.0,Ulster,Female,752,115,0.0,CreditCard,2,True,True,1GB,Premium,1,0
52196,58.0,Leinster,Male,706,70,0.0,DirectDebit,2,True,True,1GB,Basic,5,0
77449,31.0,Leinster,Male,487,13,541.04,DirectDebit,1,False,True,,Premium,0,0
9414,42.0,Leinster,Male,522,52,579.29,DirectDebit,2,True,True,1GB,Premium,0,0
91399,41.0,Connacht,Male,729,34,0.0,CreditCard,1,True,False,500Mbps,,5,0
943,64.0,Leinster,Male,593,114,0.0,DirectDebit,1,True,False,2GB,,3,0
43378,22.0,Ulster,Female,677,52,0.0,DirectDebit,2,True,True,2GB,Basic,2,0
70388,44.0,Leinster,male,615,37,0.0,CreditCard,2,True,True,2GB,Premium,1,0
6494,34.0,Leinster,Male,688,129,381.09,DirectDebit,1,True,False,2GB,,1,0
31164,31.0,Ulster,Male,649,1,0.0,DirectDebit,2,True,True,1GB,Basic,0,0
48516,40.0,Connacht,Female,603,1,0.0,DirectDebit,2,True,True,1GB,Basic,0,0
33813,24.0,Leinster,female,715,88,501.1,CreditCard,1,True,False,500Mbps,,1,0
1222,31.0,Leinster,Female,710,1,0.0,CreditCard,2,True,True,2GB,Premium,1,0
83177,24.0,Connacht,Female,642,91,0.0,DirectDebit,2,True,True,2GB,Premium,0,0
39662,35.0,Connacht,Male,576,13,823.23,DirectDebit,2,True,True,500Mbps,Basic,3,0
56252,35.0,Connacht,Male,771,48,378.04,DirectDebit,1,False,True,,Premium,1,0
80891,23.0,Connacht,Male,630,64,774.19,CreditCard,1,True,False,2GB,,6,0
14148,39.0,Ulster,Female,473,12,0.0,DirectDebit,2,True,True,2GB,Basic,1,0
34825,33.0,Leinster,Male,611,26,745.58,DirectDebit,1,True,False,500Mbps,,3,0
76651,26.0,Leinster,Female,766,12,368.63,CreditCard,1,False,True,,Basic,2,0
97624,40.0,Leinster,Female,630,104,0.0,CreditCard,2,True,True,2GB,Premium,0,0
20561,33.0,Munster,Male,417,26,450.19,CreditCard,2,True,True,1GB,Premium,2,0
